"Employee #","Last Name","First Name","Birthday","Address","Phone Number","SSS #","Philhealth #","TIN #","Pag-ibig #","Status","Position","Immediate Supervisor","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate","Level","Password"
"1022","Delos Santos","Kolby ","02/26/1980","06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur","739-443-033","52-0109570-6","357-451271-274","187-500-345-000","113-017988-667","Probationary","Account Rank and File","Mata, Christian","24,000","1,500","500","500","12,000","142.86","Employee","Delos Santos"
"1023","Santos","Vella ","12/31/1983","99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur","955-879-269","52-9883524-3","548-670482-885","101-558-994-000","360-028104-576","Regular","Account Rank and File","Mata, Christian","22,500","1,500","500","500","11,250","133.93","Employee","Santos"
"1024","Del Rosario","Tomas","12/18/1978","80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque","882-550-989","45-5866331-6","953-901539-995","560-735-732-000","913-108649-964","Probationary","Account Rank and File","Mata, Christian","22,500","1,500","500","500","11,250","133.93","Employee","Del Rosario"
"1025","Tolentino","Jacklyn ","05/19/1984","96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao","675-757-366","47-1692793-0","753-800654-114","841-177-857-000","210-546661-243","Probationary","Account Rank and File","De Leon, Selena","24,000","1,500","500","500","12,000","142.86","Employee","Tolentino"
"1026","Gutierrez","Percival ","12/18/1970","58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur","512-899-876","40-9504657-8","797-639382-265","502-995-671-000","210-897095-686","Probationary","Account Rank and File","De Leon, Selena","24,750","1,500","500","500","12,375","147.32","Employee","Gutierrez"
"1027","Manalaysay","Garfield ","08/28/1986","60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur","948-628-136","45-3298166-4","810-909286-264","336-676-445-000","211-274476-563","Probationary","Account Rank and File","De Leon, Selena","24,750","1,500","500","500","12,375","147.32","Employee","Manalaysay"
"1028","Villegas","Lizeth ","12/12/1981","66/77 Mann Views, Luisiana 1263 Dinagat Islands","332-372-215","40-2400719-4","934-389652-994","210-395-397-000","122-238077-997","Probationary","Account Rank and File","De Leon, Selena","24,000","1,500","500","500","12,000","142.86","Employee","Villegas"
"1029","Ramos","Carol ","08/20/1978","72/70 Stamm Spurs, Bustos 4550 Iloilo","250-700-389","60-1152206-4","351-830469-744","395-032-717-000","212-141893-454","Probationary","Account Rank and File","De Leon, Selena","22,500","1,500","500","500","11,250","133.93","Employee","Ramos"
"1030","Maceda","Emelia ","04/14/1973","50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija","973-358-041","54-1331005-0","465-087894-112","215-973-013-000","515-012579-765","Probationary","Account Rank and File","De Leon, Selena","22,500","1,500","500","500","11,250","133.93","Employee","Maceda"
"1031","Aguilar","Delia ","01/27/1989","95 Cremin Junction, Surallah 2809 Cotabato","529-705-439","52-1859253-1","136-451303-068","599-312-588-000","110-018813-465","Probationary","Account Rank and File","De Leon, Selena","22,500","1,500","500","500","11,250","133.93","Employee","Aguilar"
"1032","Castro","John Rafael","02/09/1992","Hi-way, Yati, Liloan Cebu","332-424-955 ","26-7145133-4","601-644902-402","404-768-309-000","697-764000-000","Regular","Sales & Marketing","Reyes, Isabella","52,670","1,500","1,000","1,000","26,335","313.51","Employee","Castro"
"1033","Martinez","Carlos Ian","11/16/1990","Bulala, Camalaniugan","078-854-208","11-5062972-7","380-685387-212","256-436-296-000","993-372963-726","Regular","Supply Chain and Logistics","Reyes, Isabella","52,670","1,500","1,000","1,000","26,335","313.51","Employee","Martinez"
"1034","Santos","Beatriz","08/07/1990","Agapita Building, Metro Manila","526-639-511","20-2987501-5","918-460050-077","911-529-713-000","874-042259-378","Regular","Customer Service and Relations","Reyes, Isabella","52,670","1,500","1,000","1,000","26,335","313.51","Employee","Santos"
